Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
19,Mahjabeen J.,13.3 km,2.0,8.3 km,9:00 /km,25 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,13.3,"['9', '00']",9.0,119.7,68,19,25.0
6,Meagan B.,13.1 km,,,6:56 /km,68 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",4.0,1h 31m,91.0,13.1,13.1,"['6', '56']",6.933333333333334,90.82666666666667,69,6,68.0
13,Habib Q.,12.8 km,1.0,12.8 km,5:30 /km,111 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,12.8,"['5', '30']",5.5,70.4,70,13,111.0
4,Habib Q.,12.8 km,1.0,12.8 km,5:30 /km,111 m,2022-11-13 16:18:13.638756,"Washington, DC",,,,,12.8,"['5', '30']",5.5,70.4,71,4,111.0
20,Ramiza H.,12.7 km,2.0,7.9 km,6:01 /km,46 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,12.7,"['6', '01']",6.016666666666667,76.41166666666666,72,20,46.0
14,Zainab R.,12.3 km,2.0,8.8 km,6:40 /km,95 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,12.3,"['6', '40']",6.666666666666667,82.00000000000001,73,14,95.0
2,Salma A.,11.9 km,2.0,6.6 km,6:41 /km,99 m,2022-11-13 16:18:13.638756,"San Diego, CA",,,,,11.9,"['6', '41']",6.683333333333334,79.53166666666667,74,2,99.0
2,Hussein M.,11.8 km,2.0,6.5 km,5:22 /km,7 m,2022-11-13 16:18:13.638756,"Houston, TX",,,,,11.8,"['5', '22']",5.366666666666666,63.32666666666667,75,2,7.0
10,Shadee M.,11.8 km,2.0,6.5 km,6:04 /km,24 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,11.8,"['6', '04']",6.066666666666666,71.58666666666667,76,10,24.0
14,Nina O.,11.7 km,2.0,8.1 km,8:26 /km,82 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,11.7,"['8', '26']",8.433333333333334,98.67,77,14,82.0
5,Ahmad S.,11.5 km,2.0,7.2 km,7:47 /km,43 m,2022-11-13 16:18:13.638756,"Washington, DC",,,,,11.5,"['7', '47']",7.783333333333333,89.50833333333333,78,5,43.0
7,Sajid H.,10.9 km,,,8:15 /km,5 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",2.0,1h 30m,90.0,10.9,10.9,"['8', '15']",8.25,89.925,79,7,5.0
15,Sajid H.,10.9 km,2.0,6.4 km,8:17 /km,5 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,10.9,"['8', '17']",8.283333333333333,90.28833333333334,80,15,5.0
8,Cyrus P.,10.6 km,,,6:47 /km,79 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",2.0,1h 12m,72.0,10.6,10.6,"['6', '47']",6.783333333333333,71.90333333333334,81,8,79.0
21,Laila S.,9.8 km,2.0,5.7 km,6:55 /km,37 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,9.8,"['6', '55']",6.916666666666667,67.78333333333335,82,21,37.0
15,Jaseem H.,9.7 km,8.0,3.0 km,6:16 /km,11 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,9.7,"['6', '16']",6.266666666666667,60.78666666666666,83,15,11.0
4,Aldo O.,9.7 km,1.0,9.7 km,7:23 /km,21 m,2022-11-13 16:18:13.638756,"Detroit, MI",,,,,9.7,"['7', '23']",7.383333333333334,71.61833333333333,84,4,21.0
9,Aldo O.,9.7 km,,,7:25 /km,21 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,1h 12m,72.0,9.7,9.7,"['7', '25']",7.416666666666667,71.94166666666666,85,9,21.0
22,Aldo O.,9.7 km,1.0,9.7 km,7:23 /km,21 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,9.7,"['7', '23']",7.383333333333334,71.61833333333333,86,22,21.0
16,Aldo O.,9.7 km,1.0,9.7 km,7:23 /km,21 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,9.7,"['7', '23']",7.383333333333334,71.61833333333333,87,16,21.0
3,Aldo O.,9.7 km,1.0,9.7 km,7:23 /km,21 m,2022-11-13 16:18:13.638756,"San Diego, CA",,,,,9.7,"['7', '23']",7.383333333333334,71.61833333333333,88,3,21.0
11,ASHRAF A.,9.6 km,2.0,5.0 km,7:36 /km,36 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,9.6,"['7', '36']",7.6,72.96,89,11,36.0
